animal,section,row,col,label,mean_score,std_score,predictions
DK55,164,15211.54674893213,41356.25106786901,1,1.620215014119943,0.9147188086528717,2
DK55,164,17249.786917352136,38958.46925186056,1,3.3982848286628724,0.9754918271183712,2
DK55,164,17244.53620955316,37724.4406779661,1,3.1691930413246157,0.7832303644127114,2
DK55,164,17274.777155655094,37981.45464725644,1,1.2884212657809258,0.7796507285668928,2
DK55,164,17286.045627376425,37844.69527430744,1,1.6817652054131031,1.131389681604739,2
DK55,164,17346.51510941299,37540.51684612712,1,2.9395193576812746,1.0081786811062707,2
DK55,164,17394.585714285713,37791.13701298701,1,2.808667953809102,0.7145539453209744,2
DK55,164,17423.511896178803,38252.85436193223,1,1.3190397116045156,0.9613246737313131,2
DK55,164,17497.48345566117,37680.94898327518,1,-0.6918477864935995,1.4329347653414342,0
DK55,164,17551.83860646996,37985.289370778526,1,3.5146151185035706,1.1065231572007794,2
DK55,164,17636.990438695164,37595.27165354331,1,2.486357813080152,0.9570885160967946,2
DK55,164,17647.95774075579,37938.76960585128,1,2.8265195449193317,0.8314181087868552,2
DK55,164,17642.861529199276,38574.16074653823,1,3.2416001498699187,1.014085617946326,2
DK55,164,17656.327036104114,38138.08144416457,1,3.16613121231397,1.1066673157518927,2
DK55,164,17653.03023758099,38317.16846652268,1,2.073933485150337,1.2147076983661331,2
DK55,164,17676.3109898675,37709.95869056898,0,0.47219085445006687,1.1555255842965606,0
DK55,164,17716.15355042967,38205.06151062867,1,2.3306325991948444,0.8210283849218508,2
DK55,164,17729.178333333333,38639.46,1,-0.11776607731978099,1.196902375220873,0
DK55,164,17716.860635696823,37279.87041564792,0,0.3228161190946897,1.2037067219220436,0
DK55,164,17757.516763848398,38539.34183673469,1,2.6233459293842314,0.9296385650636478,2
DK55,164,17754.28373015873,37750.92857142857,1,1.287304940323035,0.9994327948729994,2
DK55,164,17836.051301115243,38141.80743494424,1,4.454055388768514,0.889578182441396,2
DK55,164,17853.5080771235,37706.332985930174,1,2.3320595979690553,0.7765532588765658,2
DK55,164,17895.25113562622,37209.61453601557,1,3.064874009291331,0.7888440152348662,2
DK55,164,17926.27648698885,41319.08248141264,1,4.9449270089467365,1.3635774283410742,2
DK55,164,17928.80757666867,38120.96392062538,1,3.088292070229848,0.8571065677679021,2
DK55,164,17953.68040393013,37675.84115720524,1,0.27584821842610835,1.1147265341710113,0
DK55,164,17965.727681078046,38217.54576080853,1,2.667598937948545,1.0717614203410086,2
DK55,164,18050.04495614035,38277.77302631579,1,0.5583697120348613,1.18325789775101,0
DK55,164,18050.044277360063,37481.66833751044,1,1.4207366446654002,1.1989184655797138,2
DK55,164,18119.60486995019,36912.89263973437,1,3.0269851207733156,0.9801703326531902,2
DK55,164,18128.544588414632,38080.73932926829,1,0.39846542440354826,1.4070960262455796,0
DK55,164,18173.538531691745,37522.93889648883,1,3.7125044107437133,0.9106476840804341,2
DK55,164,18210.847888953154,36959.31116252169,1,3.0125610023736953,1.1220288448831572,2
DK55,164,18271.705078125,37122.107421875,1,-1.018964449564616,1.9920688498041945,0
DK55,164,18374.47216408539,37514.37547090833,1,3.7326463222503663,0.8735282743062458,2
DK55,164,18373.524509803923,37363.458333333336,1,-1.0889383723338446,2.0534337445963518,0
DK55,164,18545.502983638115,37275.87911453321,1,0.8371283111472925,1.5490051845235207,0
DK55,164,19070.995465787302,38091.06306677659,1,-0.5322014970084031,1.3337404216273363,0
DK55,164,19164.65826013035,36352.6015868518,1,2.9491306722164152,0.9811333949578789,2
DK55,164,19345.029951487028,39559.97764184771,1,2.87039245168368,1.1772855220707137,2
DK55,164,19476.65943992773,38148.259259259255,1,4.155013100306193,0.800247180229617,2
DK55,164,19480.731930466605,39647.995882891126,1,3.3058824141820273,0.9578425862922082,2
DK55,164,19487.75790037493,39041.67166577397,1,0.3894372353951136,1.3089948234368671,0
DK55,164,19842.56732891832,40387.88741721855,0,0.5728560984134674,1.1909166856900748,0
DK55,164,19862.27125,39209.79375,1,-0.5624447380503018,1.3447989667858085,0
DK55,164,20000.626211546565,41435.37715971345,1,2.9434004000077647,1.1440134315914823,2
DK55,164,20045.187725631768,38457.32129963899,1,1.791157559553782,1.0685347583395208,2
DK55,164,20107.772639691717,39469.46628131021,1,1.1501202849050363,1.0447751243055774,2
DK55,164,20131.92828685259,40553.62284196547,1,4.396042990684509,1.191790817586667,2
DK55,164,20244.38696172249,39731.40789473684,1,4.966973010698954,0.6752689025736196,2
DK55,164,20328.674463937623,40595.61988304093,1,1.0815781630575656,1.0498601443569426,2
DK55,164,20329.0,40442.43150684932,1,1.0280901721368234,0.9419275179730202,2
