,name,max_score,dx,dy,dz,atlas_rig_dist_man,atlas_rig_dist_det,atlas_rig_score,atlas_aff_dist_man,atlas_aff_dist_det,atlas_aff_score,atlas_det_dist_man,atlas_det_dist_det,atlas_det_score
0,10N_L,4.044719051379477,594.75,594.75,600.0,607.8650878820501,857.5730132332372,0.0,484.43977371626494,659.0566522556759,0.0,607.8650878820501,857.5730132332372,0.0
1,10N_R,3.9972564534271924,594.75,594.75,600.0,567.8817395753865,963.531150651491,0.0,449.27206141422124,951.406636727232,0.0,567.8817395753865,963.531150651491,0.0
2,12N,3.016444569041762,663.0,663.0,600.0,548.5213746400218,386.79839404488797,-0.7849684459181456,443.68882146325825,248.01979604701947,-1.0867311795197083,548.5213746400218,386.79839404488797,-0.7849684459181456
3,3N_L,3.5930632544992687,594.75,594.75,600.0,110.57194614859564,720.1464465902959,0.0,177.55603314987133,711.5327443624657,0.0,110.57194614859564,720.1464465902959,0.0
4,3N_R,3.073020459894476,594.75,594.75,600.0,180.57285393981007,760.5417948764677,0.0,232.1643651665787,702.2081041076366,0.0,180.57285393981007,760.5417948764677,0.0
5,4N_L,4.629459352606019,594.75,594.75,600.0,147.6715474554574,1021.7817316814832,0.0,143.04785832913709,1010.8274015803185,0.0,147.6715474554574,1021.7817316814832,0.0
6,4N_R,4.453532039995867,594.75,594.75,600.0,125.7359388408305,774.9932775492979,0.0,111.96662984741252,718.8824670461901,0.0,125.7359388408305,774.9932775492979,0.0
7,5N_L,3.321138131282435,594.75,594.75,600.0,66.82490263622142,237.04739534862725,-1.1855331916913932,227.50009851873344,198.37292778369024,-0.5739185375372341,66.82490263622142,237.04739534862725,-1.1855331916913932
8,5N_R,2.902153041353653,594.75,594.75,600.0,214.77678659931064,190.06088276909344,0.5635889283611686,261.2414623763545,297.2977805896538,0.8574248647136461,214.77678659931064,190.06088276909344,0.5635889283611686
9,6N_L,4.519582936375161,594.75,594.75,600.0,736.3193744007182,701.461142957025,0.0,781.9693772907467,742.0560995617334,0.0,736.3193744007182,701.461142957025,0.0
10,6N_R,4.724561199267757,594.75,594.75,600.0,764.1910608997295,889.9232869537309,0.0,730.8322235305959,853.8203853257785,0.0,764.1910608997295,889.9232869537309,0.0
