name,DK39,DK41,DK43,DK52,DK54,DK55
10N_L_dx,-240.38999999999987,-223.26000000000022,-829.9300000000005,-289.9699999999996,-214.8599999999999,-376.25999999999976
10N_L_dy,-258.4259999999995,-342.52599999999916,-1.4659999999992124,-327.4059999999997,-357.22599999999943,-440.3959999999995
10N_L_dz,-90.0,-30.0,170.0,-10.0,-10.0,250.0
10N_L_dist,364.24078516278166,409.96230104242454,847.1634754024756,437.46690130340096,416.9834944886902,630.8884405471377
10N_R_dx,-183.78000000000043,-125.34999999999968,-856.0299999999995,-266.0000000000002,-254.90999999999985,-988.2799999999997
10N_R_dy,-236.25599999999963,-256.2059999999997,-4.3259999999997945,-281.9859999999994,-409.39599999999984,550.4939999999999
10N_R_dz,-50.0,-70.0,-50.0,-50.0,-90.0,-1350.0
10N_R_dist,303.46661420327604,293.69054621488885,857.4998980618011,390.8607222477078,490.5957530554049,1761.317973120129
3N_L_dx,150.04999999999995,2.1800000000001774,551.61,109.01999999999987,-461.6300000000001,245.93000000000018
3N_L_dy,-159.88999999999976,-160.34999999999968,614.4100000000003,-52.32999999999947,-77.24999999999966,-39.289999999999736
3N_L_dz,0.0,20.0,100.0,40.0,20.0,-40.0
3N_L_dist,219.27109841472475,161.6071622793987,831.7290665835843,127.37263952670493,468.4760606477134,252.240498334427
3N_R_dx,232.74999999999977,36.329999999999814,516.6800000000001,39.289999999999736,-486.9100000000003,202.36999999999966
3N_R_dy,-111.45999999999958,-170.36999999999978,650.2500000000003,-66.29999999999995,-62.129999999999654,-68.3099999999996
3N_R_dz,-20.0,-80.0,-20.0,-20.0,60.0,-60.0
3N_R_dist,258.8356507515914,191.69195549109492,830.7727035116167,79.62031210689878,494.51135982907437,221.85552280707327
4N_L_dx,,,,167.18999999999994,438.49999999999966,
4N_L_dy,,,,-80.84000000000003,-159.68999999999994,
4N_L_dz,,,,10.0,50.0,
4N_L_dist,,,,185.9774225544595,469.34331368413007,
4N_R_dx,,,,138.49999999999966,420.59999999999945,
4N_R_dy,,,,-30.720000000000027,-144.30000000000007,
4N_R_dz,,,,-50.0,10.0,
4N_R_dist,,,,150.41930860099015,444.7773038274318,
5N_L_dx,106.73800000000028,72.93800000000033,187.99800000000005,96.84799999999996,62.96800000000019,170.5279999999999
5N_L_dy,26.24520000000018,45.06520000000023,281.86519999999973,4.185200000000009,69.77520000000027,21.89520000000016
5N_L_dz,-60.0,80.0,500.0,80.0,0.0,40.0
5N_L_dist,125.22703848227054,117.2639078959936,603.979502114964,125.68631987229155,93.98695419599498,176.51968322835836
5N_R_dx,78.53800000000035,74.11800000000028,149.60800000000006,49.4580000000002,118.89800000000037,39.46799999999996
5N_R_dy,45.69520000000011,-70.08479999999963,339.6252000000004,85.40520000000015,97.02519999999993,-24.964799999999627
5N_R_dz,-20.0,-40.0,-440.0,-40.0,-80.0,20.0
5N_R_dist,93.03907107790826,109.56896054558513,575.6108321939748,106.49010259662653,173.06248536017293,50.80319146510363
6N_L_dx,18.04300000000012,17.563000000000102,-47.947000000000344,-41.37699999999995,80.99299999999971,24.01299999999992
6N_L_dy,59.50799999999958,-28.462000000000103,303.6579999999992,119.11799999999971,63.70800000000031,10.398000000000138
6N_L_dz,-50.0,-10.0,170.0,-10.0,10.0,70.0
6N_L_dist,79.79192887128343,34.9076555070662,351.29346104503503,126.4956681195049,103.53055255816996,74.73113523157534
6N_R_dx,11.532999999999447,5.572999999999411,759.9129999999991,-35.47700000000077,19.832999999999856,-65.6370000000004
6N_R_dy,42.187999999999874,-31.502000000000407,-3458.8020000000006,106.21800000000007,8.057999999999765,9.07799999999952
6N_R_dz,-30.0,-50.0,-70.0,-10.0,-10.0,50.0
6N_R_dist,53.03618984240833,59.35852367604858,3541.9880071469756,112.43167281953991,23.627933743770118,83.00979371736834
7N_L_dx,-69.56899999999905,-25.118999999999687,-130.30899999999974,-18.748999999999114,-84.72899999999981,145.5810000000008
7N_L_dy,113.2000000000005,173.2299999999998,-50.399999999999636,239.56000000000017,181.80000000000064,-5.819999999999936
7N_L_dz,-30.0,-30.0,290.0,-110.0,-10.0,50.0
7N_L_dist,136.2133831934292,177.5939105403108,321.90153072174087,264.27356773048655,200.82391152698975,154.0379822024433
7N_R_dx,-94.04899999999998,60.73100000000068,-169.04899999999998,93.6710000000005,17.021000000000868,-132.69899999999893
7N_R_dy,105.33000000000015,67.24000000000046,9.5799999999997,159.60000000000036,159.54000000000065,1.0000000000002274
7N_R_dz,70.0,110.0,-390.0,70.0,150.0,170.0
7N_R_dist,157.6059113770801,142.51130467791018,425.16977879548307,197.85453303121517,219.64226833876998,215.66182926285245
DC_L_dx,-202.0550000000003,78.33499999999958,-303.2249999999999,-107.14500000000044,102.38500000000045,56.224999999999454
DC_L_dy,42.82600000000002,-176.03400000000022,340.1959999999997,71.95599999999956,-4.344000000000392,1.5559999999999263
DC_L_dz,-60.0,100.0,920.0,100.0,220.0,240.0
DC_L_dist,215.08205248462764,217.08141648008475,1026.68335870462,163.27191112068246,242.69643293835222,246.5028838796819
DC_R_dx,-460.05499999999984,9.244999999999663,-318.24499999999944,-226.03500000000054,47.78500000000008,-155.21499999999946
