name,DK39,DK41,DK43,DK52,DK54,DK55
10N_L_dx,-886.1699999999996,-226.88999999999965,-922.3000000000002,-347.7200000000005,-442.8200000000004,-376.25999999999976
10N_L_dy,346.28400000000056,-471.53599999999983,556.4740000000006,-303.8259999999991,-576.8459999999993,-440.3959999999995
10N_L_dz,-810.0,170.0,-830.0,-110.0,-10.0,250.0
10N_L_dist,1249.523860338809,550.2047540652477,1359.85315482077,474.67824542104285,727.2832048906392,630.8884405471377
10N_R_dx,-339.8000000000002,-910.7799999999997,-202.5,-321.52000000000044,-458.25000000000045,-988.2799999999997
10N_R_dy,-578.0259999999998,565.5439999999999,-363.73599999999954,-250.13599999999997,-606.8359999999996,550.4939999999999
10N_R_dz,150.0,-1430.0,170.0,-150.0,-130.0,-1350.0
10N_R_dist,687.0793961952286,1787.2493458765061,449.6778043177133,434.100367306917,771.4551143106123,1761.317973120129
3N_L_dx,-80.79000000000008,15.609999999999786,112.3399999999998,90.50999999999988,252.36999999999966,245.93000000000018
3N_L_dy,74.61000000000013,-91.80999999999983,-64.10999999999945,3.6800000000005184,-136.98999999999955,-39.289999999999736
3N_L_dz,-20.0,0.0,0.0,-20.0,240.0,-40.0
3N_L_dist,111.77511440387806,93.12759097066755,129.34592262611096,92.76638669259454,374.2417360477045,252.240498334427
3N_R_dx,-13.880000000000337,36.80000000000007,53.55000000000018,22.6400000000001,227.83999999999992,202.36999999999966
3N_R_dy,110.76000000000022,-104.22999999999945,-18.21999999999946,-6.459999999999582,-141.25999999999976,-68.3099999999996
3N_R_dz,-60.0,-100.0,-40.0,-100.0,200.0,-60.0
3N_R_dist,126.72975972517291,149.05748186521834,69.27893547103622,102.73412870122567,334.4629324753341,221.85552280707327
4N_L_dx,,,,142.27999999999952,1841.7999999999995,
4N_L_dy,,,,-28.929999999999723,1904.9299999999998,
4N_L_dz,,,,-50.0,-970.0,
4N_L_dist,,,,153.55957573528212,2821.6813329821634,
4N_R_dx,,,,116.13999999999976,237.3599999999999,
4N_R_dy,,,,27.95000000000016,-108.43999999999994,
4N_R_dz,,,,-110.0,150.0,
4N_R_dist,,,,162.38750598491237,300.9966830382022,
5N_L_dx,153.95800000000008,193.54800000000012,145.9280000000001,64.01800000000037,-48.70200000000011,170.5279999999999
5N_L_dy,34.765199999999936,32.06520000000012,27.985199999999963,20.635199999999827,-31.004800000000046,21.89520000000016
5N_L_dz,20.0,160.0,60.0,20.0,180.0,40.0
5N_L_dist,159.096464118597,253.15806397395295,160.2440407723171,70.17204431281762,189.0322258955864,176.51968322835836
5N_R_dx,-87.59199999999964,26.78800000000024,-8.682000000000016,68.80800000000022,72.75800000000004,39.46799999999996
5N_R_dy,99.95520000000056,-93.90479999999968,-19.56479999999999,-38.93480000000011,90.37520000000029,-24.964799999999627
5N_R_dz,-40.0,-40.0,60.0,-160.0,-40.0,20.0
5N_R_dist,138.79265279920276,105.52586605681071,63.70367746873017,178.4669703755853,122.72490920363339,50.80319146510363
6N_L_dx,-22.47700000000009,65.55299999999988,73.91300000000001,-36.327,-74.57700000000045,24.01299999999992
6N_L_dy,-35.85200000000043,-74.79200000000048,34.51799999999935,126.82799999999929,-44.652000000000385,10.398000000000138
6N_L_dz,10.0,70.0,110.0,590.0,70.0,70.0
6N_L_dist,43.48081683915373,121.61841584645008,136.94752240548186,604.5700889996128,111.60434594136602,74.73113523157534
6N_R_dx,-82.51700000000028,11.862999999999602,41.81299999999965,-48.52700000000027,-99.53700000000026,-65.6370000000004
6N_R_dy,-14.11200000000008,-80.78200000000038,26.967999999999392,129.83799999999974,-69.48200000000043,9.07799999999952
6N_R_dz,30.0,30.0,130.0,-810.0,30.0,50.0
6N_R_dist,88.9280823643468,86.98541425434526,139.19626429254464,821.7741636076179,125.04144390161252,83.00979371736834
7N_L_dx,135.9310000000005,95.02100000000041,63.471000000000686,699.1210000000001,-128.66899999999987,145.5810000000008
7N_L_dy,-22.069999999999936,137.30999999999995,47.180000000000746,-10.5499999999995,-53.19999999999936,-5.819999999999936
7N_L_dz,90.0,70.0,30.0,2270.0,10.0,50.0
7N_L_dist,164.5123754037979,181.06083657434058,84.58439714864767,2375.2434559726717,139.5920898940907,154.0379822024433
7N_R_dx,-77.1589999999992,56.99100000000044,-43.79899999999907,65.95100000000002,-712.0089999999993,-132.69899999999893
7N_R_dy,10.740000000000691,-28.77999999999929,46.100000000000136,196.52000000000044,157.62000000000057,1.0000000000002274
7N_R_dz,110.0,170.0,110.0,-50.0,-10.0,170.0
7N_R_dist,134.79190955320684,181.59367412165,127.05731935232984,213.2361245216208,729.3153505041555,215.66182926285245
DC_L_dx,-140.1750000000004,173.83500000000026,51.28500000000031,-66.38500000000022,-216.0850000000005,56.224999999999454
DC_L_dy,-179.7040000000004,-228.83399999999995,-152.21400000000017,71.5459999999996,-190.70400000000006,1.5559999999999263
DC_L_dz,240.0,300.0,280.0,140.0,340.0,240.0
DC_L_dist,330.9721411856295,415.4318316896288,322.7990907995252,170.66282061714546,445.7137454028092,246.5028838796819
DC_R_dx,-402.7750000000003,-149.54500000000053,-106.62500000000023,-97.30500000000006,-55.97499999999968,-155.21499999999946
DC_R_dy,-162.57400000000018,-87.7940000000001,-129.43399999999997,126.37599999999964,-81.88400000000001,-78.99400000000014
DC_R_dz,0.0,80.0,-60.0,-220.0,-200.0,20.0
DC_R_dist,434.34779394052447,190.9751121507726,178.10685270645834,271.73361293921647,223.24468656834807,175.30472971657056
LC_L_dx,192.9965999999996,214.22660000000008,270.54659999999956,164.4865999999996,46.376599999999826,202.17659999999967
LC_L_dy,-111.09900000000039,-180.98900000000015,-68.42900000000043,-16.598999999999933,-304.289,-172.17900000000043
LC_L_dz,80.0,60.0,60.0,-120.0,160.0,120.0
LC_L_dist,236.62348871690642,286.7927026068831,285.44349845908175,204.28256993821051,346.9042873020741,291.41205470700766
LC_R_dx,-108.02340000000015,88.20659999999975,135.1066000000003,167.35659999999996,92.68660000000011,201.12659999999948
LC_R_dy,-120.79900000000009,-147.60899999999992,-42.099000000000046,-23.42900000000043,-210.70899999999995,-148.519
LC_R_dz,-40.0,40.0,-100.0,-120.0,-20.0,20.0
LC_R_dist,166.91750461997702,176.54693756777527,173.28046388603676,207.2610663018021,231.06078962160586,250.81826605843483
LRt_L_dx,,-289.5999999999992,38.04000000000087,119.71000000000004,-556.3699999999994,-99.18999999999983
LRt_L_dy,,55.00999999999976,-213.2000000000005,40.83999999999946,-49.47000000000003,-149.23000000000002
LRt_L_dz,,880.0,-120.0,-60.0,620.0,100.0
LRt_L_dist,,928.0594054800584,247.59095621609504,139.9942488104421,834.502760810292,205.20294588528688
LRt_R_dx,,-325.72,-26.61999999999921,-22.80999999999949,-594.1499999999996,43.460000000000036
LRt_R_dy,,28.789999999999054,-46.37000000000057,45.51999999999907,-133.74000000000024,-93.33000000000084
LRt_R_dz,,-520.0,220.0,-200.0,-780.0,280.0
LRt_R_dist,,614.2657262944108,226.4040664387458,206.37918136284944,989.5961853705782,298.32743839613573
Pn_L_dx,229.80000000000018,202.97000000000025,162.8800000000001,76.22000000000014,230.31000000000006,108.93000000000029
Pn_L_dy,194.72300000000018,174.35299999999984,60.79299999999989,277.1429999999998,131.22299999999996,101.68300000000045
Pn_L_dz,30.0,-70.0,-70.0,-110.0,50.0,-110.0
Pn_L_dist,302.6963606140651,276.57872208288194,187.41847093869916,307.7624584789378,269.7446418911783,185.2165688835644
Pn_R_dx,155.24,194.76,35.07000000000005,36.38000000000034,192.54999999999995,204.7800000000001
Pn_R_dy,276.18299999999977,160.68300000000022,17.853000000000065,274.3730000000005,163.32300000000032,205.9929999999997
Pn_R_dz,130.0,30.0,-70.0,-10.0,50.0,10.0
Pn_R_dist,342.4565769393251,254.2645946430609,80.30339039542481,276.95495577620613,257.39056864811516,290.63372902848
SC_dx,983.5900000000004,,,290.8600000000001,,
SC_dy,-264.7199999999998,,,-851.1199999999999,,
SC_dz,50.0,,,-110.0,,
SC_dist,1019.8166337631488,,,906.1483289175122,,
Tz_L_dx,239.47099999999978,315.68100000000015,40.99100000000021,33.00099999999986,36.601,109.35099999999977
Tz_L_dy,153.359999999999,271.819999999999,148.51999999999975,351.7999999999995,118.86999999999944,160.04999999999995
Tz_L_dz,10.0,50.0,50.0,-70.0,70.0,70.0
