,name,max_score,dx,dy,dz,atlas_rig_dist_man,atlas_rig_dist_det,atlas_rig_score,atlas_aff_dist_man,atlas_aff_dist_det,atlas_aff_score,atlas_det_dist_man,atlas_det_dist_det,atlas_det_score
11,7N_L,2.100170179736111,594.75,594.75,600.0,2608.392483846467,1211.1477676198522,0.0,2345.228237729442,1287.4454942734847,0.0,2608.392483846467,1211.1477676198522,0.0
12,7N_R,3.2530719340762846,594.75,594.75,600.0,243.5662955608507,3482.228322848345,0.0,130.12087153090116,3649.018766068679,0.0,243.5662955608507,3482.228322848345,0.0
13,AP,2.433184016770737,594.75,594.75,600.0,229.7237740072267,141.57221243120264,0.8869984223335823,375.2821846359464,497.49553697010515,0.0,229.7237740072267,141.57221243120264,0.8869984223335823
14,Amb_L,3.1820203835054004,594.75,594.75,600.0,269.4391900526766,923.9501226214286,0.0,492.47901871284705,1169.8590291762953,0.0,269.4391900526766,923.9501226214286,0.0
15,DC_L,3.6520775836213626,594.75,594.75,600.0,104.72120887124684,929.7182023624217,0.0,513.5467084728824,1312.2356171715164,0.0,104.72120887124684,929.7182023624217,0.0
16,DC_R,3.162591206331631,594.75,594.75,600.0,125.59999996309631,529.1702123585587,0.0,436.5301431886881,805.2751993001485,0.0,125.59999996309631,529.1702123585587,0.0
17,IC,2.7696941831766644,1062.75,1062.75,600.0,895.1291524048179,1184.2983781250625,0.0,773.1924350616274,912.2240106863916,0.0,895.1291524048179,1184.2983781250625,0.0
18,LC_L,3.275440268826353,594.75,594.75,600.0,378.0445850963549,432.0174729532841,0.0,379.7079142099363,428.4062754602514,1.0391514898904206,378.0445850963549,432.0174729532841,0.0
19,LC_R,3.2715476812090687,594.75,594.75,600.0,423.3234824295502,542.1392330612549,0.0,487.0534942756243,664.2990373018756,0.0,423.3234824295502,542.1392330612549,0.0
20,LRt_L,3.73461618624871,624.0,624.0,600.0,297.9441626440728,1346.790920932103,0.0,614.8951129709964,1603.061897770304,0.0,297.9441626440728,1346.790920932103,0.0
21,LRt_R,2.554226449732992,624.0,624.0,600.0,167.67753687571388,998.5073536410201,0.0,293.95473971693116,1114.1302023611647,0.0,167.67753687571388,998.5073536410201,0.0
22,PBG_L,3.8295806381031348,594.75,594.75,600.0,447.7787106828549,214.9499309148205,-1.4066968273485074,371.5811741723375,119.32331134413297,0.5013379429510912,447.7787106828549,214.9499309148205,-1.4066968273485074
23,PBG_R,4.162529597819154,594.75,594.75,600.0,281.0891669260045,448.3304509429287,0.0,511.75866063891664,682.9875928290461,0.0,281.0891669260045,448.3304509429287,0.0
24,Pn_L,2.8902231763207498,653.25,653.25,600.0,152.0861496024914,49.47372705877712,0.931139027904453,658.6705902329874,623.7372901742924,0.0,152.0861496024914,49.47372705877712,0.931139027904453
25,Pn_R,4.022889258336457,653.25,653.25,600.0,282.7927872976064,1470.1579888799442,0.0,638.5999709090534,916.0550743591236,0.0,282.7927872976064,1470.1579888799442,0.0
26,RtTg,3.916652228655882,780.0,780.0,600.0,229.44751124171216,793.3691317782817,0.0,469.0052387677707,546.2390358365107,0.0,229.44751124171216,793.3691317782817,0.0
27,SNC_L,4.469258656447625,594.75,594.75,600.0,187.98484072644925,352.86769634943835,0.0,653.624785212949,840.5302244771713,0.0,187.98484072644925,352.86769634943835,0.0
28,SNC_R,2.8644629059543782,594.75,594.75,600.0,546.8435228388988,724.4112931270951,0.0,916.745716751443,650.1179570054695,0.0,546.8435228388988,724.4112931270951,0.0
29,SNR_L,2.516355326293158,838.5,838.5,600.0,1264.3924730850426,512.168644403667,-2.134663829167788,1180.84883809059,825.0953745874043,0.0,1264.3924730850426,512.168644403667,-2.134663829167788
30,SNR_R,2.3988265317517756,838.5,838.5,600.0,244.45541968147194,201.6764344761035,0.25944647364868295,607.6374782425921,457.37823040056975,0.0,244.45541968147194,201.6764344761035,0.25944647364868295
31,Sp5C_L,3.1868282991037615,916.5,916.5,600.0,229.74425825041135,2884.695783031285,0.0,466.24116749150465,3071.0770162021913,0.0,229.74425825041135,2884.695783031285,0.0
32,Sp5C_R,2.991994344555619,916.5,916.5,600.0,742.0235062183104,310.1828865658121,-0.20241532317761643,999.6822353409519,536.0404102371683,0.3308425169151289,742.0235062183104,310.1828865658121,-0.20241532317761643
33,Sp5I_L,2.397239007004671,828.75,828.75,600.0,441.7125535928265,1126.5310746101386,0.0,606.5784509850354,1452.292156920083,0.0,441.7125535928265,1126.5310746101386,0.0
34,Sp5I_R,3.3407070576938613,828.75,828.75,600.0,581.5890269969071,244.60048641403196,0.7656254114451083,551.3481149644493,496.9553159501584,-1.4482466772086537,581.5890269969071,244.60048641403196,0.7656254114451083
35,Tz_L,3.2499063156294636,594.75,594.75,600.0,276.4480104773613,1046.9794909157688,0.0,390.29712901142693,922.1112809070779,0.0,276.4480104773613,1046.9794909157688,0.0
36,Tz_R,2.5626067951977074,594.75,594.75,600.0,259.1481844181832,1189.388579995932,0.0,295.56944899754143,786.1382745999013,0.0,259.1481844181832,1189.388579995932,0.0
37,VCA_L,3.316394204027221,789.75,789.75,600.0,30.558285307027226,277.2628545840227,1.1104955988420555,342.26027696974177,473.8443025284125,-0.2141685488860326,30.558285307027226,277.2628545840227,1.1104955988420555
38,VCA_R,3.988726126280307,789.75,789.75,600.0,243.99213597153488,1125.1263868021474,0.0,465.28639422885374,944.6069444482814,0.0,243.99213597153488,1125.1263868021474,0.0
39,VCP_L,2.8490457955571564,594.75,594.75,600.0,348.39617324129665,1039.5477859805299,0.0,637.7448881522363,1159.2594782634385,0.0,348.39617324129665,1039.5477859805299,0.0
40,VCP_R,3.370396676568127,594.75,594.75,600.0,197.39550968671404,1018.6838383591056,0.0,399.10301581997646,1129.6978381449549,0.0,197.39550968671404,1018.6838383591056,0.0
41,VLL_L,2.945310918393975,770.25,770.25,600.0,916.8848503900267,503.24139847540545,0.0,1107.2475107671885,746.4968856495204,0.0,916.8848503900267,503.24139847540545,0.0
42,VLL_R,2.7259316548028396,770.25,770.25,600.0,946.3885560031835,848.6074955010092,0.0,1230.9336711021926,1112.119290454936,0.0,946.3885560031835,848.6074955010092,0.0
