18608,37360,138
15035,38229,199
21029,39109,199
13704,33415,177
17476,38116,177
20329,40101,177
20701,39838,177
20908,38679,177
14057,37723,193
15034,37161,193
15907,38031,193
16600,38363,193
22950,49119,193
8475,24712,70
18587,39093,304
18081,35949,209
20453,40893,209
20512,42206,209
20618,42206,209
23202,42790,209
12299,39509,203
23048,42976,203
14954,41109,156
17636,38184,156
19198,38677,156
19733,38742,156
20520,48306,228
21759,44627,228
17575,9648,180
18648,9885,180
16610,38918,180
17507,38073,180
17688,38266,180
19428,41354,180
19624,40314,180
19822,41114,180
19793,40809,180
20033,39931,180
20335,40364,180
20463,39044,180
20742,42193,180
21358,38800,180
17444,38031,164
17497,37680,164
17656,37900,164
17754,37750,164
19862,39209,164
20045,38457,164
20107,39469,164
20033,18553,69
17200,6128,210
16681,37860,317
19524,10682,217
19919,38167,217
22167,42213,217
20177,40331,187
20597,40751,187
17676,38402,169
18873,36628,169
7228,36351,163
17768,38128,163
17949,37608,163
18832,38880,163
20344,40376,163
23586,43036,252
18926,44197,204
19621,42726,204
19831,42027,204
20021,39948,204
20355,42520,204
20476,9837,204
20473,41723,204
20733,40650,204
20864,40738,204
21084,41295,204
21215,40510,204
21283,40982,204
15272,33067,93
13822,36473,107
20009,41850,170
15209,16523,194
15266,38042,194
16548,38237,194
21308,40106,194
23380,38701,236
16671,5544,241
17174,5721,241
17377,5833,241
6372,36535,232
20023,8315,232
22625,40824,232
23209,39674,232
27971,51419,232
21461,42376,245
17843,6640,238
24035,54476,238
18057,37825,146
18615,43686,200
19931,39910,200
19949,42236,200
20048,42266,200
20655,42411,200
20765,41011,200
21192,42272,200
21405,40404,200
21459,43038,200
21509,40631,200
21562,40217,200
21634,42226,200
13054,16806,190
16924,42755,103
10326,36125,174
17557,37726,174
17838,37733,174
17918,37420,174
20519,39623,174
17643,38254,155
13065,6524,219
23268,25529,219
23299,25416,219
17895,38982,213
17576,37994,167
19466,39526,167
21970,23948,183
22052,23895,183
22130,24028,183
16607,38856,184
16720,38895,184
19548,43923,184
19551,40452,184
19898,40004,184
20115,39215,184
20210,39803,184
20450,39735,184
20945,40579,184
20953,40826,184
20683,33986,125
14817,41246,152
17966,38222,152
23749,54955,251
16458,39082,179
16806,38855,179
17254,38091,179
18915,39593,179
19490,44281,179
20949,34940,179
20998,40818,179
10326,36125,173
17557,37726,173
20519,39623,173
15883,28624,141
15488,5162,235
17753,43811,235
23095,18004,235
19926,41011,248
20708,47898,248
21843,46359,332
18929,37936,302
5385,26564,195
15444,38397,195
15863,38666,195
20806,42912,195
18259,38104,171
8394,32043,106
16747,5646,240
16967,5484,240
17634,5834,237
17699,5943,237
21020,24756,134
18514,7292,216
21677,41915,216
22355,42975,216
24152,44383,216
24295,44325,216
17536,38296,162
18208,38583,162
18653,9307,186
17446,38432,186
13932,45540,168
17899,37335,168
18011,37328,168
18495,37609,168
19983,39841,168
20068,40957,168
21197,42514,224
10389,41172,127
10141,32416,150
13864,35594,229
13932,36543,229
24958,23657,86
18083,37372,165
22003,34777,165
16877,38367,181
17378,38344,181
19924,40297,181
20504,34958,49
14607,37635,192
14806,37512,192
15135,37306,192
16504,38524,192
17590,37523,192
20766,40553,192
20812,40282,192
17957,5468,198
19073,40907,198
17725,10063,176
15942,40882,176
17555,38138,176
17854,38024,176
18829,42231,176
19548,42221,176
19860,40406,176
19949,42133,176
22099,37647,176
18777,38809,202
20729,40618,202
20546,41006,305
17053,5884,208
20620,42516,208
20680,42204,208
20996,41112,208
21553,41501,208
21550,41334,208
22265,41510,208
23108,41482,208
23400,42111,208
23428,41501,208
23616,54522,208
8207,25743,91
16122,34469,105
16781,38054,172
17618,38101,172
19369,44627,172
19823,38938,172
19984,42087,172
20144,35948,172
20596,39474,172
12951,38068,196
15875,38995,196
19784,40535,196
20549,39611,196
21290,39603,196
21984,42321,196
22476,37936,196
12217,39895,206
22821,43550,206
18046,37481,140
18374,37334,140
15468,5665,243
16010,5577,243
16612,5430,243
17044,6096,243
14674,46122,243
18307,39778,185
19908,40276,185
20301,41934,185
20346,39783,185
20579,23799,159
26717,50059,227
22840,40970,250
22199,40836,220
23269,39450,220
20293,9421,212
17761,40244,212
20570,41901,212
22586,41792,212
23356,42056,212
12922,33795,218
20339,9140,182
18946,43993,182
19754,40690,182
19901,39349,182
20937,40603,182
18497,40924,61
17473,38282,166
19967,43937,188
21141,41029,188
21148,41102,188
15434,6862,239
21461,42376,244
18985,44611,201
19302,43801,201
20486,42209,201
17460,38647,175
19513,42255,175
19527,37384,175
13054,16806,191
16250,39060,191
19697,40253,191
23020,42864,191
9936,26406,35
18871,39106,156
19396,38232,156
19815,38821,156
21048,44015,228
22816,40238,228
18561,10072,180
19125,37402,180
19581,40576,180
20522,41055,180
20581,39148,180
17676,37709,164
19918,40756,204
14305,36483,236
17185,5502,241
20136,42296,200
21048,41303,200
19159,41677,190
26657,29706,128
7730,22689,183
17811,38139,160
19450,40888,184
19885,41400,214
21364,41294,214
19651,41115,152
19070,40747,158
19820,40443,179
19625,40754,197
16758,32697,248
21626,41561,248
5492,27299,195
16020,39077,195
16773,5757,240
14446,34049,240
17658,6074,237
21374,40716,216
21352,41227,216
16427,10688,186
12159,45515,168
19367,39771,168
19839,42004,120
17431,38178,165
20299,41144,181
19756,8556,211
24785,36849,211
15118,37965,192
19303,37692,192
19960,39849,192
20319,40455,192
21461,39923,192
22360,37951,192
17547,38458,176
20652,40247,176
21183,37481,176
18835,44029,208
14888,40754,105
17088,38738,172
17362,37698,172
17409,38175,172
17993,37748,172
19247,39334,172
19773,41717,172
22258,37710,172
15469,38347,196
19840,38508,196
20743,39480,196
23214,42538,196
20037,43288,206
21106,42894,206
16868,38351,185
20175,39827,185
19885,41400,215
21364,41294,215
22678,40975,220
25396,53040,220
20232,9400,212
18788,44700,212
19664,42907,212
